Neighborhood,Top Crime 1,Worried Time 1,Top Crime 2,Worried Time 2,Top Crime 3,Worried Time 3
ASYLUM HILL,Parking Violation,During Lunch Break (12-2 PM),Larceny/Theft Offenses,Before Lunch Break (9-11 AM),Destructive/Damage/Vandalism Of Property,Early Morning Commute (6-8 AM)
BARRY SQUARE,Disorderly Conduct,After Lunch Break (3-5 PM),Highway Infraction,Evening Commute (6-8 PM),Vehicle Usage Violation,Before Lunch Break (9-11 AM)
BEHIND THE ROCKS,Disorderly Conduct,After Lunch Break (3-5 PM),Larceny/Theft Offenses,After Lunch Break (3-5 PM),Disorderly Conduct,During Lunch Break (12-2 PM)
BLUE HILLS,Vehicle Usage Violation,After Lunch Break (3-5 PM),Larceny/Theft Offenses,Before Lunch Break (9-11 AM),Destructive/Damage/Vandalism Of Property,Before Lunch Break (9-11 AM)
CLAY-ARSENAL,Vehicle Usage Violation,After Lunch Break (3-5 PM),Vehicle Usage Violation,Before Lunch Break (9-11 AM),Vehicle Usage Violation,During Lunch Break (12-2 PM)
DOWNTOWN,All Other Offenses,Evening Commute (6-8 PM),All Other Offenses,During Lunch Break (12-2 PM),All Other Offenses,After Lunch Break (3-5 PM)
FROG HOLLOW,Disorderly Conduct,After Lunch Break (3-5 PM),Vehicle Usage Violation,After Lunch Break (3-5 PM),Vehicle Usage Violation,Evening Commute (6-8 PM)
NORTH MEADOWS,Larceny/Theft Offenses,Before Lunch Break (9-11 AM),Larceny/Theft Offenses,During Lunch Break (12-2 PM),Destructive/Damage/Vandalism Of Property,Before Lunch Break (9-11 AM)
NORTHEAST,Vehicle Usage Violation,After Lunch Break (3-5 PM),Highway Infraction,Evening Commute (6-8 PM),Vehicle Usage Violation,Evening Commute (6-8 PM)
PARKVILLE,Larceny/Theft Offenses,Before Lunch Break (9-11 AM),Disorderly Conduct,Evening Commute (6-8 PM),Larceny/Theft Offenses,Early Morning Commute (6-8 AM)
SHELDON-CHARTER OAK,Destructive/Damage/Vandalism Of Property,Before Lunch Break (9-11 AM),Larceny/Theft Offenses,Before Lunch Break (9-11 AM),Disorderly Conduct,Before Lunch Break (9-11 AM)
SOUTH GREEN,Disorderly Conduct,After Lunch Break (3-5 PM),Assault Offenses,After Lunch Break (3-5 PM),Parking Violation,During Lunch Break (12-2 PM)
SOUTH MEADOWS,Larceny/Theft Offenses,Before Lunch Break (9-11 AM),Larceny/Theft Offenses,Early Morning Commute (6-8 AM),Larceny/Theft Offenses,During Lunch Break (12-2 PM)
SOUTHEND,Destructive/Damage/Vandalism Of Property,Early Morning Commute (6-8 AM),Destructive/Damage/Vandalism Of Property,Before Lunch Break (9-11 AM),Vehicle Usage Violation,Before Lunch Break (9-11 AM)
SOUTHWEST,Destructive/Damage/Vandalism Of Property,Early Morning Commute (6-8 AM),Larceny/Theft Offenses,Before Lunch Break (9-11 AM),Larceny/Theft Offenses,Early Morning Commute (6-8 AM)
UPPER ALBANY,Vehicle Usage Violation,Before Lunch Break (9-11 AM),Vehicle Usage Violation,Evening Commute (6-8 PM),Highway Infraction,Evening Commute (6-8 PM)
WESTEND,Destructive/Damage/Vandalism Of Property,Before Lunch Break (9-11 AM),Larceny/Theft Offenses,After Lunch Break (3-5 PM),Larceny/Theft Offenses,Before Lunch Break (9-11 AM)
